,FMID,MarketName,Website,Facebook,TwitterHandle,Youtube,OtherMedia,Instagram,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime,StateCode,Population
25,1009959,2nd Street Market - Five Rivers Metropark,http://www.metroparks.org,https://www.facebook.com/2ndStreetMarket/,,,,,600 E. 2nd Street,Dayton,Montgomery,Ohio,45402,01/01/2016 to 12/31/2016,Thu: 11:00 AM-3:00 PM;Fri: 11:00 AM-3:00 PM;Sat: 8:00 AM-3:00 PM;,,,,,,,-84.18103,39.762593,,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,2016-06-30T14:35:22Z,OH,718169.0
26,1004950,3 French Hens French Country Market,http://www.3frenchhensmarket.blogspot.com,https://www.facebook.com/pages/3-French-Hens-French-Country-Market/422352511143508,,,,,123 W. Illinois ave.,Morris,Grundy,Illinois,60450,05/10/2014 to 10/11/2014,Sat: 8:00 AM-2:00 PM;,11/14/2014 to 11/15/2014,Fri: 4:30 PM-10:00 PM;Sat: 9:00 AM-3:00 PM;,,,,,-88.425186,41.356383,Other,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,2014-04-04T23:58:41Z,IL,16834.0
29,1005636,32nd Street/waverly Farmers Market,http://www.32ndstreetmarket.org,https://www.facebook.com/pages/Baltimores-32nd-Street-Farmers-Market/194872083921466?sk=wall,,,,,E. 32nd & Barclay Street,Baltimore,Baltimore,Maryland,21218,01/01/2013 to 12/31/2013,Sat: 7:00 AM-12:00 PM;,,,,,,,-76.611,39.3272,Closed-off public street,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,2014-03-14T13:23:50Z,MD,2170504.0
30,1005310,33rd And Diamond Farmers' Market,http://thefoodtrust.org/farmers-markets/market/33rd-diamond,,,,,,N 33rd and Diamond Streets,Philadelphia,Philadelphia,Pennsylvania,19121,06/01/2015 to 11/01/2015,Thu: 2:00 PM-6:00 PM;,,,,,,,-75.187167,39.988802,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T14:28:01Z,PA,5637884.0
31,1018389,38th & Meridian Farmer's Market,,,,,,,3808 N Meridian St,Indianapolis,Marion,Indiana,46208,06/01/2017 to 09/21/2017,Thu: 4:00 PM-6:30 PM;,,,,,,,-86.1575468,39.8255595,,Y,N,Y,N,Y,-,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,2017-06-26T08:19:14Z,IN,1564699.0
32,1012280,39 North Marketplace,http://www.39northdowntown.com,39 North,39North Downtown,,,,Downtown Sparks Victorian Ave,Sparks,Washoe,Nevada,89431,06/09/2016 to 08/18/2016,Thu: 4:00 PM-9:00 PM;,,,,,,,-119.754962,39.534773,,Y,Y,Y,Y,N,-,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,2016-07-06T17:19:49Z,NV,100888.0
33,1004414,3rd & Curry St. Farmers Market,http://www.carsonfarmersmarket.com,,,,,,3rd & Curry Street,Carson City,Carson City,Nevada,89703,June to September,Sat:8:30 AM - 1:30 PM;,,,,,,,-119.7678,39.16257,Local government building grounds,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,2012-05-18T16:12:09Z,NV,57525.0
34,1011213,441 Ministries Farm Stand,,,,,,,441 Parsells Avenue,Rochester,Monroe,New York,14609,,Tue: 3:00 PM-7:00 PM;,,,,,,,-77.5666043,43.1658344,,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-06-08T09:22:25Z,NY,711998.0
35,1010965,4th And Lehigh Farmers' Market,http://thefoodtrust.org/farmers-markets/market/fairhill-square,,,,,,N 4th Street and W. Lehigh Avenue,Philadelphia,Philadelphia,Pennsylvania,19133,06/01/2015 to 11/22/2015,Tue: 1:00 PM-5:00 PM;,,,,,,,-75.138654,39.991748,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T15:11:40Z,PA,5637884.0
38,1005304,52nd And Haverford Farmers' Market,http://thefoodtrust.org/farmers-markets/market/52nd-haverford,,,,,,N 52nd Street and Haverford Avenue,Philadelphia,Philadelphia,Pennsylvania,19139,06/01/2015 to 11/15/2015,Wed: 1:00 PM-5:00 PM;,,,,,,,-75.224492,39.965053999999995,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T14:38:14Z,PA,5637884.0
39,1000060,57th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,,W 57 St. & 9 Ave,New York,New York,New York,10019,04/20/2013 to 12/21/2013,Wed: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;,,,,,,,-73.985839,40.768159000000004,Other,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,2013-07-24T11:06:00Z,NY,19354922.0
40,1005306,58th And Chester Farmers' Market,http://thefoodtrust.org/farmers-markets/market/58th-chester,,,,,,58th Street and Chester Avenue,Philadelphia,Philadelphia,Pennsylvania,19143,06/01/2015 to 11/01/2015,Wed: 2:00 PM-6:00 PM;,,,,,,,-75.228303,39.935721,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T14:35:04Z,PA,5637884.0
41,1018426,61st Street Farmers Market,http://61market.org,facebook.com/61market,61market,,instagram: @61market,instagram: @61market,61st Street and Dorchester Ave,Chicago,Cook,Illinois,60637,05/13/2017 to 12/16/2017,Sat: 9:00 AM-2:00 PM;,,,,,,,-87.59142059999999,41.7841961,,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,2017-06-27T13:04:53Z,IL,8675982.0
42,1012500,6th Street Market In Downtown Tempe,http://arizonacommunityfarmersmarkets.com,www.facebook.com/6thstmarket/,,,www.instagram.com/6thstmarket/,www.instagram.com/6thstmarket/,6th Street and Mill Avenue,Tempe,Maricopa,Arizona,85281,10/02/2016 to 05/28/2017,Sun: 9:00 AM-1:00 PM;,,,,,,,-111.93951200000001,33.42442,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,2016-07-12T15:50:15Z,AZ,185038.0
43,1000061,79th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,,Columbus - W 78 & 81 Sts.,New York,New York,New York,10024,01/01/2013 to 12/31/2013,Sun: 8:00 AM-5:00 PM;,,,,,,,-73.9757,40.7818,Other,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,2013-07-24T10:54:51Z,NY,19354922.0
44,1000062,82nd Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,,E 82nd St. - 1st & York Ave,New York,New York,New York,10028,01/01/2013 to 12/31/2013,Sat: 9:00 AM-2:30 PM;,,,,,,,-73.95009,40.773749,Other,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,2013-07-24T10:50:27Z,NY,19354922.0
45,1008391,84 West Farmers Market (dothan),,,,,,,,Dothan,Houston,Alabama,,06/06/2013 to 08/08/2013,Thu: 3:00 PM-6:00 PM;,,,,,,,-85.44994399999999,31.232252000000003,,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,2014-03-15T09:29:24Z,AL,71620.0
46,1001961,8th Avenue City Farmers Market,,,,,,,8th Ave & 2nd St SE,Cedar Rapids,Linn,Iowa,52401,May to October,Tue:4:00 PM - 6:00 PM;Sat:7:30 AM - 12:00 PM;,,,,,,,-91.66265340000001,41.972837,Local government building grounds,Y,Y,N,Y,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,2012-04-25T13:17:22Z,IA,186160.0
47,1000063,92nd Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,,1st Ave - E 92nd & 93 Sts.,New York,New York,New York,10128,06/23/2013 to 11/24/2013,Sun: 9:00 AM-4:00 PM;,,,,,,,-73.946421,40.780931,Other,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2013-07-24T10:43:59Z,NY,19354922.0
48,1000064,97th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,,W 97 St. & Columbus,New York,New York,New York,10025,01/01/2013 to 12/31/2013,Fri: 8:00 AM-2:00 PM;,,,,,,,-73.967012,40.79356,Other,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,2013-07-24T10:39:55Z,NY,19354922.0
49,1011989,9th And Grand Farmers Market,http://Farmtoforkks.com,,,,,,304 West Grand Avenue,Salina,Saline,Kansas,67401,05/10/2016 to 09/27/2016,Tue: 4:00 PM-7:00 PM;,,,,,,,-97.6117504,38.8528359,,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,2016-05-28T15:39:24Z,KS,46782.0
51,1010617,A + Organic Farmers Market,http://organicgrowndirect.com/,https://www.facebook.com/OrganicProduceDelivery,OrganicGrownDr,http://www.youtube.com/user/OrganicGrownDirect,http://organicgrowndirect.com/shop,,Lee Rd. Farm,Boynton Beach,Palm Beach,Florida,33473,,,,,,,,,-80.221052,26.489351,,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,Y,N,Y,Y,N,Y,N,N,Y,2014-09-29T13:37:38Z,FL,77702.0
52,1001683,A Better Choice Bakery & Market,,https://www.facebook.com/nottinghamfarmersmarket,,,,,27 W Potomac Street,Brunswick,Frederick,Maryland,21716,January to December,Mon:12:00 PM - 5:00 PM;Tue:12:00 PM - 5:00 PM;Wed:12:00 PM - 5:00 PM;Thu:12:00 PM - 5:00 PM;Fri:12:00 PM - 5:00 PM;Sat:10:00 AM - 5:00 PM;sun:12:00 PM - 5:00 PM;,,,,,,,-77.6277075,39.313066,Co-located with wholesale market facility,Y,N,N,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,2012-05-03T17:01:00Z,MD,9067.0
53,1009004,A Growers' Market,,,,,,,229 Lake Ella Drive,Tallahassee,Leon,Florida,32303,01/01/2014 to 12/31/2014,Wed: 3:00 PM-6:30 PM;,,,,,,,-84.2792304,30.462471299999997,Other,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,2014-05-06T22:28:06Z,FL,253030.0
54,1001887,Aaffa Community Farmers Market,,https://www.facebook.com/pages/Anderson-Area-Farm-Food-Association/431344110224404,,,,,402 North Murray Avenue,Anderson,Anderson,South Carolina,29624,05/06/2014 to 09/23/2014,Tue: 5:00 PM-8:00 PM;,,,,,,,-82.652159,34.506706,Local government building grounds,Y,N,N,N,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,N,N,2014-04-08T13:54:22Z,SC,77426.0
57,1004573,Abbeville Farmers Market,,,,,,,118 Trinity Street at Livery Stable,Abbeville,Abbeville,South Carolina,29620,06/06/2013 to 10/04/2013,Thu: 4:00 PM-8:00 PM;Fri: 7:00 AM-12:00 PM;,,,,,,,-82.38024200000001,34.177429,Local government building grounds,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,2013-07-11T13:41:58Z,SC,5088.0
58,1004598,Abbotsford Farmers Market,,,,,,,1011 East Spruce St.,Abbotsford,Clark,Wisconsin,54405,May to October,Tue:1:30 PM - 5:30 PM;,,,,,,,-90.30714499999999,44.945665000000005,Private business parking lot,N,Y,N,Y,N,-,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,2012-05-07T10:47:54Z,WI,3888.0
62,1010487,Abingdon Farmers Market,http://www.abingdonfarmersmarket.com,https://www.facebook.com/abingdonfarmersmarket,,,,,Corner of Remsburg Drive & Cummings St,Abingdon,Washington,Virginia,24210,04/16/2016 to 11/22/2016,Tue: 3pm-6pm;Sat: 8am-1pm;,11/26/2016 to 12/24/2016,Sat: 10:00 AM-12:00 PM;,01/02/2016 to 04/09/2016,Sat: 10:00 AM-12:00 PM;,,,-81.977094,36.708934,,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,2016-03-02T10:20:28Z,VA,7981.0
